time,RMS,MAV
0.05,0.8303172972375206,0.6828822667693524
0.1,0.8682511690096824,0.7588826509787442
0.15,0.8174091151629108,0.7009654356327418
0.2,0.743327570132223,0.6083171550877933
0.25,0.803283606196227,0.6780974177581789
0.3,0.821529436480299,0.7261968400483088
0.35,0.7941056291762958,0.6934323558057948
0.4,0.795201332039888,0.6626075336014219
0.45,0.8021179248407705,0.6746129632697039
0.5,0.8205306575564936,0.7119050068498315
0.55,0.7994633277222681,0.6750047074035009
0.6,0.7950682097267874,0.6580650101973065
0.65,0.8252472874066129,0.704985837956808
0.7,0.833882207484918,0.7362311796943709
0.75,0.8188958223297131,0.6963060950155255
0.8,0.80192629446614,0.6476358284608645
0.85,0.8249571217932111,0.685180191112879
0.9,0.8473769493576925,0.728340510153373
0.95,0.8210782219748889,0.692946198716918
1.0,0.7623114954390615,0.6234402303864013
1.05,0.7751033765845918,0.6469524155452777
1.1,0.7791908636762523,0.6782886942844519
1.15,0.7408491968915975,0.6353429495624464
1.2,0.7744890904806422,0.6357551817532067
1.25,0.829014397964482,0.7024866224528397
1.3,0.8317624309059781,0.7193752787262067
1.35,0.8034560938834698,0.6708570888959554
1.4,0.7634500225459689,0.6281720422500723
1.45,0.7572997396062127,0.6436498980540388
1.5,0.7998492314684557,0.6995643841702814
1.55,0.8120039942244809,0.6866906860277798
1.6,0.7946594550880642,0.6477713828787288
1.65,0.8013795032805284,0.6780948598937053
1.7,0.8164919537101175,0.7141905824271001
1.75,0.7940837150104239,0.6770807098186643
1.8,0.8014774763322751,0.651150852623063
1.85,0.8268281608391984,0.69310655325113
1.9,0.8167440149941896,0.7119735100756344
1.95,0.7722756797646558,0.6361819085011153
2.0,0.5369119306596125,0.3580280414217551
2.05,0.1977537729674403,0.15597500418271765
2.1,0.19339954772536352,0.15035087691237184
2.15,0.16214677323229315,0.13116595673843764
2.2,0.17509965719150042,0.14353544805444451
2.25,0.19404230154345567,0.1611614439539645
2.3,0.1989664981574624,0.16558218995604837
2.35,0.1969711766172918,0.15967164049165508
2.4,0.18712880397351614,0.14981013066844795
2.45,0.17391153188145736,0.13825823533477377
2.5,0.18108056274341355,0.1433198236682513
2.55,0.19405234312432867,0.15542844888606813
2.6,0.1784828262505321,0.14615838296249004
2.65,0.19606745747814427,0.16018918732487072
2.7,0.20753297567157725,0.16759617578858205
2.75,0.18274732361627088,0.14121890532081452
2.8,0.18419203965355027,0.14907762477413147
2.85,0.18395032874757797,0.15493378750514833
2.9,0.17720227315635184,0.14292192582799448
2.95,0.1777305848860816,0.14406000997501467
