time,raw_emg
0.0,-0.3038422876841708
0.001,0.7613808994637769
0.002,1.1560060518741109
0.003,1.4076930692801424
0.004,1.4599108625670492
0.005,1.2958160973646646
0.006,0.9840925153451354
0.007,1.4129461215768722
0.008,0.596688600698665
0.009000000000000001,0.6366042070579921
0.01,0.2495043813778936
0.011,0.06281427000829831
0.012,0.8627502614779752
0.013000000000000001,0.4245105878680822
0.014,0.05971863790059783
0.015,-0.37257150290392327
0.016,-0.7583971084667488
0.017,-0.6577795806391751
0.018000000000000002,-1.8772654050798105
0.019,-1.7357199810157278
0.02,-1.5428235163302866
0.021,-1.3354904353273023
0.022,-0.8581424488456688
0.023,-0.05290981707319753
0.024,0.3178261395368714
0.025,0.2877255000021344
0.026000000000000002,0.4108993152027216
0.027,0.6259774665473983
0.028,0.16957013841985533
0.029,0.4083556135416863
0.03,-0.19636017883091167
0.031,-0.029801318686664982
0.032,-0.28799581401057295
0.033,0.20108770579260904
0.034,0.6913362401223354
0.035,0.7464507832971711
0.036000000000000004,0.8212193263172283
0.037,1.0277842070015344
0.038,1.1077591050879767
0.039,0.7148397362063208
0.04,-0.06542809784178538
0.041,-0.22214350666544355
0.042,0.2910272971776626
0.043000000000000003,-0.1635851611386784
0.044,-0.1771555731269468
0.045,-0.07817921224021507
0.046,0.21102646114564552
0.047,0.26093061143479884
0.048,-0.16467328276418766
0.049,-0.7964745263113895
0.05,-1.0541002498182055
0.051000000000000004,-1.631105385186644
0.052000000000000005,-1.3073363720799753
0.053,-1.3828249933534795
0.054,-1.7551706182506335
0.055,-1.136680871956763
0.056,-0.5928689928457771
0.057,0.019168903728638984
0.058,0.2588135864082842
0.059000000000000004,0.8515380437958676
0.06,1.115437921100912
0.061,1.2032455803742694
0.062,0.8645230691547474
0.063,1.1355336524647388
0.064,0.823504859067508
0.065,1.358295950204627
0.066,1.2766994578733089
0.067,1.480553710941832
0.068,1.0725801842594909
0.069,1.0045486865722044
0.07,0.8039262599719802
0.07100000000000001,0.05528649296689356
0.07200000000000001,-0.17617147164658678
0.073,-1.057048844089407
0.074,-1.2320488109239915
0.075,-1.6909514108729484
0.076,-2.016961390463704
0.077,-1.2082587591948144
0.078,-1.2245802756338748
0.079,-0.4759128547369784
0.08,-0.37527154312922617
0.081,-0.27352105252104886
0.082,-0.4808407257468716
0.083,-0.19772641156821183
0.084,-0.027355284527855787
0.085,0.19394558053001915
0.08600000000000001,0.2410611878775266
0.08700000000000001,0.42858207024873674
0.088,0.4381246102447465
0.089,1.012681157905733
0.09,0.9285868610839163
0.091,1.23651691013376
0.092,1.0912791608600667
0.093,0.9271990708078474
0.094,0.6729466981809056
0.095,0.35228934993246563
0.096,0.14401463968621026
0.097,-0.2468220743571901
0.098,-0.2516837375418281
0.099,-0.1453811322191934
0.1,0.02819004266393118
0.101,0.3652011842434967
0.10200000000000001,0.6572349373449461
0.10300000000000001,0.14918876254168803
0.10400000000000001,0.0793438593925714
0.105,-0.3944404002004927
0.106,-0.8867998000644057
0.107,-0.9513560742542472
0.108,-1.149968013150863
0.109,-1.3537097167489827
0.11,-1.0310475576283045
0.111,-0.7499063171535261
0.112,-0.5621099183922948
0.113,-0.013998009590282356
0.114,0.007117260774114384
0.115,0.37773593625363494
0.116,0.04991472477339501
0.117,0.33092260685169933
0.11800000000000001,-0.02558316819814639
0.11900000000000001,0.5082906640177329
0.12,0.4462808098007873
0.121,0.8925923920256404
0.122,1.3782525879176988
0.123,1.7369302849358705
0.124,1.8753295761689863
0.125,1.4846986135564926
0.126,1.6217090565096224
0.127,1.3630522686744893
0.128,0.4538175754900554
0.129,-0.13250969474233548
0.13,-0.7742340035387137
0.131,-1.1917002874978249
0.132,-1.045889269083947
0.133,-1.1115176707960144
0.134,-1.4425895700207532
0.135,-1.4524477538167029
0.136,-0.9841127018153091
0.137,-0.9571564610835789
0.138,-1.1662797724014349
0.139,-0.7752337706360388
0.14,-0.8884945111759368
0.14100000000000001,-0.686370507779146
0.14200000000000002,-0.8941905892666715
0.14300000000000002,0.08851929343262155
0.14400000000000002,0.7810858058736866
0.145,1.4120385147500405
0.146,1.4251016473889833
0.147,1.645991595475817
0.148,1.736825651985343
0.149,1.5022441209287702
0.15,0.8880779099888418
0.151,0.5073571049047825
0.152,0.05616470095348511
0.153,-0.4022618167820446
0.154,0.1164801515585771
0.155,-0.11251166898028592
0.156,0.12380261329102299
0.157,0.13918500116947377
0.158,-0.05038682372041068
0.159,0.1812247576864015
0.16,-0.4278036094328807
0.161,-0.4853551905139047
0.162,-1.082085099585107
0.163,-0.951212577228378
0.164,-1.2063556393813077
0.165,-0.6871868206935947
0.166,-0.6640215255596834
0.167,-0.5331508729347659
0.168,-0.025670310500600264
0.169,-0.1433306909579479
0.17,-0.06689979197574958
0.171,-0.14840786926610625
0.17200000000000001,-0.18650963953891464
0.17300000000000001,-0.3488201264976394
0.17400000000000002,-0.4876975186017873
0.17500000000000002,-0.20353670081241515
0.176,0.0011888612733194914
0.177,0.18002852868098598
0.178,0.6455237237272715
0.179,1.1370759912643988
0.18,1.2908464730219085
0.181,1.6258907773605888
0.182,0.9759957073249175
0.183,1.115736871021864
0.184,0.40540629927055133
0.185,0.20871486029393838
0.186,-0.023094109934482146
0.187,-0.22948459293142862
0.188,-0.6083766155650656
0.189,-0.20216875796064598
0.19,-0.5431251902373264
0.191,-0.39507193797089324
0.192,-0.7549547090638397
0.193,-0.9094407272283491
